HCPCS,Description,Category,Modifier,Average Cost
E1234,Fld ped wc tltnspc w/o seat,Capped Rental Items ,Rented, $217.93 
E1235,Rigid ped wc adjustable,Capped Rental Items ,Rented, $209.86 
E1236,Folding ped wc adjustable,Capped Rental Items ,Rented, $185.14 
E1237,Rgd ped wc adjstabl w/o seat,Capped Rental Items ,Rented, $186.75 
E1238,Fld ped wc adjstabl w/o seat,Capped Rental Items ,Rented, $185.14 
E1240,Whchr litwt det arm leg rest,Capped Rental Items ,Rented, $109.62 
E1270,Wheelchair lightweight leg r,Capped Rental Items ,Rented, $84.55 
E1280,Whchr h-duty det arm leg res,Capped Rental Items ,Rented, $140.71 
E1295,Wheelchair heavy duty fixed,Capped Rental Items ,Rented, $131.49 
E1296,Wheelchair special seat heig,Inexpensive and Other Routinely Purchased Items ,Purchased New, $519.67 
E1297,Wheelchair special seat dept,Inexpensive and Other Routinely Purchased Items ,Purchased New, $110.19 
E1298,Wheelchair spec seat depth/w,Inexpensive and Other Routinely Purchased Items ,Purchased New, $448.69 
E1310,Whirlpool non-portable,Inexpensive and Other Routinely Purchased Items ,Purchased New," $2,266.85 "
E1353,Oxygen supplies regulator,Oxygen and Oxygen Equipment,, $32.00 
E1355,Oxygen supplies stand/rack,Oxygen and Oxygen Equipment,, $24.11 
E1372,Oxy suppl heater for nebuliz,Inexpensive and Other Routinely Purchased Items ,Purchased New, $120.90 
E1390,Oxygen concentrator,Oxygen and Oxygen Equipment,Rented, $69.90 
E1391,"Oxygen concentrator, dual",Oxygen and Oxygen Equipment,Rented, $69.90 
E1392,Portable oxygen concentrator,Oxygen and Oxygen Equipment,Rented, $38.39 
E1405,O2/water vapor enrich w/heat,Oxygen and Oxygen Equipment,Rented, $97.66 
E1406,O2/water vapor enrich w/o he,Oxygen and Oxygen Equipment,Rented, $75.54 
E1700,Jaw motion rehab system,Capped Rental Items ,Rented, $37.05 
E1701,Repl cushions for jaw motion,Supplies ,, $11.62 
E1702,Repl measr scales jaw motion,Supplies ,, $24.45 
E1800,Adjust elbow ext/flex device,Capped Rental Items ,Rented, $128.72 
E1801,Sps elbow device,Capped Rental Items ,Rented, $142.11 
E1802,Adjst forearm pro/sup device,Capped Rental Items ,Rented, $369.21 
E1805,Adjust wrist ext/flex device,Capped Rental Items ,Rented, $134.52 
E1806,Sps wrist device,Capped Rental Items ,Rented, $116.67 
E1810,Adjust knee ext/flex device,Capped Rental Items ,Rented, $132.26 
E1811,Sps knee device,Capped Rental Items ,Rented, $147.75 
E1812,Knee ext/flex w act res ctrl,Capped Rental Items ,Rented, $97.15 
E1815,Adjust ankle ext/flex device,Capped Rental Items ,Rented, $134.94 
E1816,Sps ankle device,Capped Rental Items ,Rented, $150.07 
E1818,Sps forearm device,Capped Rental Items ,Rented, $153.21 
E1820,Soft interface material,Inexpensive and Other Routinely Purchased Items ,Purchased New, $90.38 
E1821,Replacement interface spsd,Inexpensive and Other Routinely Purchased Items ,Purchased New, $118.90 
E1825,Adjust finger ext/flex devc,Capped Rental Items ,Rented, $134.52 
E1830,Adjust toe ext/flex device,Capped Rental Items ,Rented, $134.52 
E1831,Static str toe dev ext/flex,Capped Rental Items ,Rented, $73.38 
E1840,Adj shoulder ext/flex device,Capped Rental Items ,Rented, $422.64 
E1841,Static str shldr dev rom adj,Capped Rental Items ,Rented, $511.76 
E2000,Gastric suction pump hme mdl,Capped Rental Items ,Rented, $57.08 
E2100,Bld glucose monitor w voice,Inexpensive and Other Routinely Purchased Items ,Purchased New, $684.15 
E2101,Bld glucose monitor w lance,Inexpensive and Other Routinely Purchased Items ,Purchased New, $213.02 
E2120,Pulse gen sys tx endolymp fl,Capped Rental Items ,Rented, $320.30 
E2201,"Man w/ch acc seat w>=20""<24""",Inexpensive and Other Routinely Purchased Items ,Purchased New, $295.39 
E2202,Seat width 24-27 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $434.33 
E2203,Frame depth less than 22 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $408.68 
E2204,Frame depth 22 to 25 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $713.06 
E2205,"Manual wc accessory, handrim",Inexpensive and Other Routinely Purchased Items ,Purchased New, $33.22 
E2206,Man wc whl lock comp repl ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $36.75 
E2207,Crutch and cane holder,Inexpensive and Other Routinely Purchased Items ,Purchased New, $43.60 
E2208,Cylinder tank carrier,Inexpensive and Other Routinely Purchased Items ,Purchased New, $73.25 
E2209,Arm trough each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $80.83 
E2210,Wheelchair bearings,Inexpensive and Other Routinely Purchased Items ,Purchased New, $5.14 
E2211,Pneumatic propulsion tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $32.84 
E2212,Pneumatic prop tire tube,Inexpensive and Other Routinely Purchased Items ,Purchased New, $5.95 
E2213,Pneumatic prop tire insert,Inexpensive and Other Routinely Purchased Items ,Purchased New, $28.54 
E2214,Pneumatic caster tire each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $31.58 
E2215,Pneumatic caster tire tube,Inexpensive and Other Routinely Purchased Items ,Purchased New, $9.81 
E2216,Foam filled propulsion tire,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E2217,Foam filled caster tire each,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E2218,Foam propulsion tire each,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E2219,Foam caster tire any size ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $38.46 
E2220,"Solid propuls tire, repl, ea",Inexpensive and Other Routinely Purchased Items ,Purchased New, $27.67 
E2221,"Solid caster tire repl, each",Inexpensive and Other Routinely Purchased Items ,Purchased New, $25.39 
E2222,"Solid caster integ whl, repl",Inexpensive and Other Routinely Purchased Items ,Purchased New, $21.22 
E2224,Propulsion whl excl tire rep,Inexpensive and Other Routinely Purchased Items ,Purchased New, $89.38 
E2225,Caster wheel excludes tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $17.89 
E2226,Caster fork replacement only,Inexpensive and Other Routinely Purchased Items ,Purchased New, $37.59 
E2227,Gear reduction drive wheel,Capped Rental Items ,Rented, $207.05 
E2228,"Mwc acc, wheelchair brake",Capped Rental Items ,Rented, $91.19 
E2231,Solid seat support base,Inexpensive and Other Routinely Purchased Items ,Purchased New, $132.71 
E2310,Electro connect btw control,Capped Rental Items ,Rented, $102.98 
E2311,Electro connect btw 2 sys,Capped Rental Items ,Rented, $207.82 
E2312,Mini-prop remote joystick,Capped Rental Items ,Rented, $223.22 
E2313,"Pwc harness, expand control",Capped Rental Items ,Rented, $35.47 
E2321,Hand interface joystick,Capped Rental Items ,Rented, $139.93 
E2322,Mult mech switches,Capped Rental Items ,Rented, $132.20 
E2323,Special joystick handle,Inexpensive and Other Routinely Purchased Items ,Purchased New, $64.44 
E2324,Chin cup interface,Inexpensive and Other Routinely Purchased Items ,Purchased New, $42.51 
E2325,Sip and puff interface,Capped Rental Items ,Rented, $126.35 
E2326,Breath tube kit,Capped Rental Items ,Rented, $33.14 
E2327,Head control interface mech,Capped Rental Items ,Rented, $247.16 
E2328,Head/extremity control inter,Capped Rental Items ,Rented, $466.50 
E2329,Head control nonproportional,Capped Rental Items ,Rented, $168.46 
E2330,Head control proximity switc,Capped Rental Items ,Rented, $323.44 
E2340,W/c wdth 20-23 in seat frame,Inexpensive and Other Routinely Purchased Items ,Purchased New, $404.85 
E2341,W/c wdth 24-27 in seat frame,Inexpensive and Other Routinely Purchased Items ,Purchased New, $607.32 
E2342,W/c dpth 20-21 in seat frame,Inexpensive and Other Routinely Purchased Items ,Purchased New, $506.11 
E2343,W/c dpth 22-25 in seat frame,Inexpensive and Other Routinely Purchased Items ,Purchased New, $809.78 
E2351,Electronic sgd interface,Inexpensive and Other Routinely Purchased Items ,Purchased New, $670.02 
E2359,Gr34 sealed leadacid battery,Inexpensive and Other Routinely Purchased Items ,Purchased New, $159.90 
E2360,22nf nonsealed leadacid,Inexpensive and Other Routinely Purchased Items ,Purchased New, $101.39 
E2361,22nf sealed leadacid battery,Inexpensive and Other Routinely Purchased Items ,Purchased New, $110.25 
E2362,Gr24 nonsealed leadacid,Inexpensive and Other Routinely Purchased Items ,Purchased New, $92.16 
E2363,Gr24 sealed leadacid battery,Inexpensive and Other Routinely Purchased Items ,Purchased New, $139.38 
E2364,U1nonsealed leadacid battery,Inexpensive and Other Routinely Purchased Items ,Purchased New, $97.64 
E2365,U1 sealed leadacid battery,Inexpensive and Other Routinely Purchased Items ,Purchased New, $73.49 
E2366,"Battery charger, single mode",Inexpensive and Other Routinely Purchased Items ,Purchased New, $148.77 
E2367,"Battery charger, dual mode",Inexpensive and Other Routinely Purchased Items ,Purchased New, $316.28 
E2368,Pwr wc drivewheel motor repl,Capped Rental Items ,Rented, $39.64 
E2369,Pwr wc drivewheel gear repl,Capped Rental Items ,Rented, $37.26 
E2370,Pwr wc dr wh motor/gear comb,Capped Rental Items ,Rented, $50.76 
E2371,Gr27 sealed leadacid battery,Inexpensive and Other Routinely Purchased Items ,Purchased New, $133.79 
E2372,Gr27 non-sealed leadacid,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E2373,Hand/chin ctrl spec joystick,Capped Rental Items ,Rented, $75.02 
E2374,Hand/chin ctrl std joystick,Capped Rental Items ,Rented, $47.45 
E2375,Non-expandable controller,Capped Rental Items ,Rented, $65.52 
E2376,"Expandable controller, repl",Capped Rental Items ,Rented, $117.89 
E2377,"Expandable controller, initl",Capped Rental Items ,Rented, $43.67 
E2378,Pw actuator replacement,Capped Rental Items ,Rented, $54.54 
E2381,Pneum drive wheel tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $58.85 
E2382,"Tube, pneum wheel drive tire",Inexpensive and Other Routinely Purchased Items ,Purchased New, $17.30 
E2383,"Insert, pneum wheel drive",Inexpensive and Other Routinely Purchased Items ,Purchased New, $122.95 
E2384,Pneumatic caster tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $59.68 
E2385,"Tube, pneumatic caster tire",Inexpensive and Other Routinely Purchased Items ,Purchased New, $41.51 
E2386,Foam filled drive wheel tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $98.37 
E2387,Foam filled caster tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $47.80 
E2388,Foam drive wheel tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $45.17 
E2389,Foam caster tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $25.25 
E2390,Solid drive wheel tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $39.09 
E2391,Solid caster tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $16.94 
E2392,"Solid caster tire, integrate",Inexpensive and Other Routinely Purchased Items ,Purchased New, $40.90 
E2394,Drive wheel excludes tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $56.62 
E2395,Caster wheel excludes tire,Inexpensive and Other Routinely Purchased Items ,Purchased New, $42.20 
E2396,Caster fork,Inexpensive and Other Routinely Purchased Items ,Purchased New, $50.16 
E2397,"Pwc acc, lith-based battery",Inexpensive and Other Routinely Purchased Items ,Purchased New, $425.90 
E2402,Neg press wound therapy pump,Capped Rental Items ,Rented, $645.55 
E2500,Sgd digitized pre-rec <=8min,Inexpensive and Other Routinely Purchased Items ,Purchased New, $441.78 
E2502,Sgd prerec msg >8min <=20min,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,350.93 "
E2504,Sgd prerec msg>20min <=40min,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,782.07 "
E2506,Sgd prerec msg > 40 min,Inexpensive and Other Routinely Purchased Items ,Purchased New," $2,613.04 "
E2508,Sgd spelling phys contact,Inexpensive and Other Routinely Purchased Items ,Purchased New," $4,040.63 "
E2510,Sgd w multi methods msg/accs,Inexpensive and Other Routinely Purchased Items ,Purchased New," $7,646.36 "
E2511,Sgd sftwre prgrm for pc/pda,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E2512,"Sgd accessory, mounting sys",Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E2601,Gen w/c cushion wdth < 22 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $37.29 
E2602,Gen w/c cushion wdth >=22 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $80.42 
E2603,Skin protect wc cus wd <22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $98.57 
E2604,Skin protect wc cus wd>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $141.66 
E2605,Position wc cush wdth <22 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $203.96 
E2606,Position wc cush wdth>=22 in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $326.20 
E2607,Skin pro/pos wc cus wd <22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $194.74 
E2608,Skin pro/pos wc cus wd>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $250.18 
E2611,Gen use back cush wdth <22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $149.88 
E2612,Gen use back cush wdth>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $298.91 
E2613,Position back cush wd <22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $296.02 
E2614,Position back cush wd>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $440.02 
E2615,Pos back post/lat wdth <22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $337.67 
E2616,Pos back post/lat wdth>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $461.25 
E2619,Replace cover w/c seat cush,Inexpensive and Other Routinely Purchased Items ,Purchased New, $46.51 
E2620,Wc planar back cush wd <22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $361.93 
E2621,Wc planar back cush wd>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $434.81 
E2622,Adj skin pro w/c cus wd<22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $295.02 
E2623,Adj skin pro wc cus wd>=22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $373.07 
E2624,Adj skin pro/pos cus<22in,Inexpensive and Other Routinely Purchased Items ,Purchased New, $299.79 
E2625,Adj skin pro/pos wc cus>=22,Inexpensive and Other Routinely Purchased Items ,Purchased New, $371.02 
E2626,Seo mobile arm sup att to wc,Inexpensive and Other Routinely Purchased Items ,Purchased New, $618.16 
E2627,Arm supp att to wc rancho ty,Inexpensive and Other Routinely Purchased Items ,Purchased New, $973.82 
E2628,Mobile arm supports reclinin,Inexpensive and Other Routinely Purchased Items ,Purchased New, $739.81 
E2629,Friction dampening arm supp,Inexpensive and Other Routinely Purchased Items ,Purchased New, $928.65 
E2630,Monosuspension arm/hand supp,Inexpensive and Other Routinely Purchased Items ,Purchased New, $639.48 
E2631,Elevat proximal arm support,Inexpensive and Other Routinely Purchased Items ,Purchased New, $263.47 
E2632,Offset/lat rocker arm w/ela,Inexpensive and Other Routinely Purchased Items ,Purchased New, $164.52 
E2633,Mobile arm support supinator,Inexpensive and Other Routinely Purchased Items ,Purchased New, $135.54 
K0001,Standard wheelchair,Capped Rental Items ,Rented, $22.48 
K0002,Stnd hemi (low seat) whlchr,Capped Rental Items ,Rented, $39.09 
K0003,Lightweight wheelchair,Capped Rental Items ,Rented, $33.86 
K0004,High strength ltwt whlchr,Capped Rental Items ,Rented, $41.45 
K0005,Ultralightweight wheelchair,Inexpensive and Other Routinely Purchased Items ,Purchased New," $2,075.20 "
K0006,Heavy duty wheelchair,Capped Rental Items ,Rented, $61.66 
K0007,Extra heavy duty wheelchair,Capped Rental Items ,Rented, $85.88 
K0009,Other manual wheelchair/base,Capped Rental Items ,Rented, $82.49 
K0010,Stnd wt frame power whlchr,Capped Rental Items ,Rented, $457.52 
K0011,Stnd wt pwr whlchr w control,Capped Rental Items ,Rented, $569.18 
K0012,Ltwt portbl power whlchr,Capped Rental Items ,Rented, $358.51 
K0015,Detach non-adj ht armrst rep,Capped Rental Items ,Rented, $13.78 
K0017,Detach adjust armrest base,Inexpensive and Other Routinely Purchased Items ,Purchased New, $44.77 
K0018,Detach adjust armrst upper,Inexpensive and Other Routinely Purchased Items ,Purchased New, $25.31 
K0019,"Arm pad repl, each",Inexpensive and Other Routinely Purchased Items ,Purchased New, $12.88 
K0020,Fixed adjust armrest pair,Inexpensive and Other Routinely Purchased Items ,Purchased New, $43.87 
K0037,Hi mount flip-up ftrest repl,Inexpensive and Other Routinely Purchased Items ,Purchased New, $41.18 
K0038,Leg strap each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $22.38 
K0039,Leg strap h style each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $48.05 
K0040,Adjustable angle footplate,Inexpensive and Other Routinely Purchased Items ,Purchased New, $50.29 
K0041,Large size footplate each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $45.92 
K0042,Standard size ftplate rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $29.37 
K0043,Ftrst lowr exten tube rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $18.20 
K0044,Ftrst upr hanger brac rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.84 
K0045,Ftrst compl assembly repl ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $51.08 
K0046,Elev lgrst lwr exten repl ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $18.33 
K0047,Elev legrst upr hangr rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $64.76 
K0050,Ratchet assembly replacement,Inexpensive and Other Routinely Purchased Items ,Purchased New, $30.04 
K0051,Cam rel asm ft/legrst rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $47.53 
K0052,Swingaway detach ftrest repl,Inexpensive and Other Routinely Purchased Items ,Purchased New, $68.08 
K0053,Elevate footrest articulate,Inexpensive and Other Routinely Purchased Items ,Purchased New, $81.06 
K0056,Seat ht <17 or >=21 ltwt wc,Inexpensive and Other Routinely Purchased Items ,Purchased New, $90.68 
K0065,Spoke protectors,Inexpensive and Other Routinely Purchased Items ,Purchased New, $44.95 
K0069,Rr whl compl sol tire rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $91.55 
K0070,Rr whl compl pne tire rep ea,Capped Rental Items ,Rented, $15.46 
K0071,Fr cstr comp pne tire rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $105.08 
K0072,Fr cstr semi-pne tire rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $64.97 
K0073,Caster pin lock each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $34.07 
K0077,Fr cstr asmb sol tire rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $52.08 
K0098,"Drive belt for pwc, repl",Inexpensive and Other Routinely Purchased Items ,Purchased New, $23.06 
K0105,Iv hanger,Inexpensive and Other Routinely Purchased Items ,Purchased New, $95.82 
K0195,Elevating whlchair leg rests,Capped Rental Items ,Rented, $10.48 
K0455,Pump uninterrupted infusion,Frequently Serviced Items ,Rented, $288.94 
K0552,Sup/ext non-ins inf pump syr,Supplies ,, $2.64 
K0553,Ther cgm supply allowance,Supplies ,, $251.11 
K0554,Ther cgm receiver/monitor,Inexpensive and Other Routinely Purchased Items ,Purchased New, $256.95 
K0601,Repl batt silver oxide 1.5 v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.20 
K0602,Repl batt silver oxide 3 v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $6.76 
K0603,Repl batt alkaline 1.5 v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $0.61 
K0604,Repl batt lithium 3.6 v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $6.52 
K0605,Repl batt lithium 4.5 v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.58 
K0606,Aed garment w elec analysis,Capped Rental Items ,Rented," $2,834.31 "
K0607,Repl batt for aed,Capped Rental Items ,Rented, $21.95 
K0608,Repl garment for aed,Inexpensive and Other Routinely Purchased Items ,Purchased New, $136.92 
K0609,Repl electrode for aed,Supplies ,, $910.66 
K0672,Removable soft interface le,Prosthetics & Orthotic,, $82.06 
K0730,Ctrl dose inh drug deliv sys,Capped Rental Items ,Rented, $194.03 
K0733,12-24hr sealed lead acid,Inexpensive and Other Routinely Purchased Items ,Purchased New, $27.34 
K0738,Portable gas oxygen system,Oxygen and Oxygen Equipment,Rented, $38.39 
K0800,Pov group 1 std up to 300lbs,Inexpensive and Other Routinely Purchased Items ,Purchased New, $808.66 
K0801,Pov group 1 hd 301-450 lbs,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,478.83 "
K0802,Pov group 1 vhd 451-600 lbs,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,970.68 "
K0806,Pov group 2 std up to 300lbs,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,327.19 "
K0807,Pov group 2 hd 301-450 lbs,Inexpensive and Other Routinely Purchased Items ,Purchased New," $2,056.81 "
K0808,Pov group 2 vhd 451-600 lbs,Inexpensive and Other Routinely Purchased Items ,Purchased New," $3,179.48 "
K0813,Pwc gp 1 std port seat/back,Capped Rental Items ,Rented, $254.44 
K0814,Pwc gp 1 std port cap chair,Capped Rental Items ,Rented, $263.16 
K0815,Pwc gp 1 std seat/back,Capped Rental Items ,Rented, $290.38 
K0816,Pwc gp 1 std cap chair,Capped Rental Items ,Rented, $269.27 
K0820,Pwc gp 2 std port seat/back,Capped Rental Items ,Rented, $264.13 
K0821,Pwc gp 2 std port cap chair,Capped Rental Items ,Rented, $269.75 
K0822,Pwc gp 2 std seat/back,Capped Rental Items ,Rented, $290.07 
K0823,Pwc gp 2 std cap chair,Capped Rental Items ,Rented, $269.94 
K0824,Pwc gp 2 hd seat/back,Capped Rental Items ,Rented, $416.04 
K0825,Pwc gp 2 hd cap chair,Capped Rental Items ,Rented, $387.17 
K0826,Pwc gp 2 vhd seat/back,Capped Rental Items ,Rented, $714.82 
K0827,Pwc gp vhd cap chair,Capped Rental Items ,Rented, $622.49 
K0828,Pwc gp 2 xtra hd seat/back,Capped Rental Items ,Rented, $875.87 
K0829,Pwc gp 2 xtra hd cap chair,Capped Rental Items ,Rented, $848.42 
K0835,Pwc gp2 std sing pow opt s/b,Capped Rental Items ,Rented, $341.01 
K0836,Pwc gp2 std sing pow opt cap,Capped Rental Items ,Rented, $353.70 
K0837,Pwc gp 2 hd sing pow opt s/b,Capped Rental Items ,Rented, $437.38 
K0838,Pwc gp 2 hd sing pow opt cap,Capped Rental Items ,Rented, $387.67 
K0839,Pwc gp2 vhd sing pow opt s/b,Capped Rental Items ,Rented, $580.99 
K0840,Pwc gp2 xhd sing pow opt s/b,Capped Rental Items ,Rented, $892.02 
K0841,Pwc gp2 std mult pow opt s/b,Capped Rental Items ,Rented, $384.29 
K0842,Pwc gp2 std mult pow opt cap,Capped Rental Items ,Rented, $383.73 
K0843,Pwc gp2 hd mult pow opt s/b,Capped Rental Items ,Rented, $455.54 
K0848,Pwc gp 3 std seat/back,Capped Rental Items ,Rented, $770.39 
K0849,Pwc gp 3 std cap chair,Capped Rental Items ,Rented, $740.68 
K0850,Pwc gp 3 hd seat/back,Capped Rental Items ,Rented, $893.61 
K0851,Pwc gp 3 hd cap chair,Capped Rental Items ,Rented, $859.22 
K0852,Pwc gp 3 vhd seat/back,Capped Rental Items ,Rented," $1,032.51 "
K0853,Pwc gp 3 vhd cap chair,Capped Rental Items ,Rented," $1,060.66 "
K0854,Pwc gp 3 xhd seat/back,Capped Rental Items ,Rented," $1,405.14 "
K0855,Pwc gp 3 xhd cap chair,Capped Rental Items ,Rented," $1,327.36 "
K0856,Pwc gp3 std sing pow opt s/b,Capped Rental Items ,Rented, $826.92 
K0857,Pwc gp3 std sing pow opt cap,Capped Rental Items ,Rented, $843.50 
K0858,Pwc gp3 hd sing pow opt s/b,Capped Rental Items ,Rented," $1,025.97 "
K0859,Pwc gp3 hd sing pow opt cap,Capped Rental Items ,Rented, $978.46 
K0860,Pwc gp3 vhd sing pow opt s/b,Capped Rental Items ,Rented," $1,465.73 "
K0861,Pwc gp3 std mult pow opt s/b,Capped Rental Items ,Rented, $828.24 
K0862,Pwc gp3 hd mult pow opt s/b,Capped Rental Items ,Rented," $1,025.97 "
K0863,Pwc gp3 vhd mult pow opt s/b,Capped Rental Items ,Rented," $1,465.73 "
K0864,Pwc gp3 xhd mult pow opt s/b,Capped Rental Items ,Rented," $1,744.23 "
L0112,Cranial cervical orthosis,Prosthetics & Orthotic,," $1,351.65 "
L0113,Cranial cervical torticollis,Prosthetics & Orthotic,, $276.00 
L0120,Cerv flex n/adj foam pre ots,Prosthetics & Orthotic,, $27.63 
L0130,Flex thermoplastic collar mo,Prosthetics & Orthotic,, $173.84 
L0140,Cervical semi-rigid adjustab,Prosthetics & Orthotic,, $66.01 
L0150,Cerv semi-rig adj molded chn,Prosthetics & Orthotic,, $111.05 
L0160,Cerv sr wire occ/man pre ots,Prosthetics & Orthotic,, $159.79 
L0170,Cervical collar molded to pt,Prosthetics & Orthotic,, $669.35 
L0172,Cerv col sr foam 2pc pre ots,Prosthetics & Orthotic,, $129.08 
L0174,Cerv sr 2pc thor ext pre ots,Prosthetics & Orthotic,, $277.46 
L0180,Cer post col occ/man sup adj,Prosthetics & Orthotic,, $380.40 
L0190,Cerv collar supp adj cerv ba,Prosthetics & Orthotic,, $509.78 
L0200,Cerv col supp adj bar & thor,Prosthetics & Orthotic,, $536.43 
L0220,Thor rib belt custom fabrica,Prosthetics & Orthotic,, $121.64 
L0450,Tlso flex trunk/thor pre ots,Prosthetics & Orthotic,, $180.42 
L0452,Tlso flex custom fab thoraci,Prosthetics & Orthotic,,  $-   
L0454,Tlso trnk sj-t9 pre cst,Prosthetics & Orthotic,, $334.93 
L0455,Tlso flex trnk sj-t9 pre ots,Prosthetics & Orthotic,, $334.93 
L0456,Tlso flex trnk sj-ss pre cst,Prosthetics & Orthotic,, $960.49 
L0457,Tlso flex trnk sj-ss pre ots,Prosthetics & Orthotic,, $960.49 
L0458,Tlso 2mod symphis-xipho pre,Prosthetics & Orthotic,, $861.27 
L0460,Tlso 2 shl symphys-stern cst,Prosthetics & Orthotic,, $969.43 
L0462,Tlso 3mod sacro-scap pre,Prosthetics & Orthotic,," $1,205.80 "
L0464,Tlso 4mod sacro-scap pre,Prosthetics & Orthotic,," $1,435.49 "
L0466,Tlso r fram soft ant pre cst,Prosthetics & Orthotic,, $375.63 
L0467,Tlso r fram soft pre ots,Prosthetics & Orthotic,, $375.63 
L0468,Tlso rig fram pelvic pre cst,Prosthetics & Orthotic,, $478.63 
L0469,Tlso rig fram pelvic pre ots,Prosthetics & Orthotic,, $478.63 
L0470,Tlso rigid frame pre subclav,Prosthetics & Orthotic,, $648.86 
L0472,Tlso rigid frame hyperex pre,Prosthetics & Orthotic,, $424.13 
L0480,Tlso rigid plastic custom fa,Prosthetics & Orthotic,," $1,463.27 "
L0482,Tlso rigid lined custom fab,Prosthetics & Orthotic,," $1,591.65 "
L0484,Tlso rigid plastic cust fab,Prosthetics & Orthotic,," $1,790.59 "
L0486,Tlso rigidlined cust fab two,Prosthetics & Orthotic,," $1,905.16 "
L0488,Tlso rigid lined pre one pie,Prosthetics & Orthotic,, $969.43 
L0490,Tlso rigid plastic pre one,Prosthetics & Orthotic,, $274.20 
L0491,Tlso 2 piece rigid shell,Prosthetics & Orthotic,, $741.67 
L0492,Tlso 3 piece rigid shell,Prosthetics & Orthotic,, $482.18 
L0621,Sio flex pelvic/sacr pre ots,Prosthetics & Orthotic,, $95.12 
L0622,Sio flex pelvisacral custom,Prosthetics & Orthotic,, $266.77 
