NDC Description,NDC, NADAC_Per_Unit ,Effective_Date,Pricing_Unit,OTC,Brand/Generic,As of Date,High Cost
OXYCODONE-ACETAMINOPHEN 2.5-325 MG TAB,603497821, $1.34 ,12/21/16,EA,N,G,6/7/17,Low
OXYCODONE-ACETAMINOPHEN 5-325 MG TAB,68084035511, $0.13 ,5/17/17,EA,N,G,6/7/17,Low
OXYCODONE-ACETAMINOPHEN 5-325 MG TABLET,54055129, $0.13 ,5/17/17,EA,N,G,6/7/17,Low
OXYCODONE-ACETAMINOPHEN 7.5-325 MG TAB,406052262, $0.40 ,5/17/17,EA,N,G,6/7/17,Low
OXYCODONE-ACETAMINOPHEN 7.5-325 MG TABLET,13107004501, $0.40 ,5/17/17,EA,N,G,6/7/17,Low
OXYCODONE-ASPIRIN 4.8355-325 MG TABLET,68308084501, $0.62 ,4/19/17,EA,N,G,6/7/17,Low
OXYCONTIN 10 MG TABLET,59011041020, $3.22 ,2/22/17,EA,N,B,6/7/17,Low
OXYCONTIN 15 MG TABLET,59011041510, $4.75 ,2/22/17,EA,N,B,6/7/17,Low
OXYCONTIN 20 MG TABLET,59011042010, $6.02 ,2/22/17,EA,N,B,6/7/17,High
OXYCONTIN 30 MG TABLET,59011043020, $8.36 ,3/22/17,EA,N,B,6/7/17,High
OXYCONTIN 40 MG TABLET,59011044020, $10.30 ,2/22/17,EA,N,B,6/7/17,High
OXYCONTIN 60 MG TABLET,59011046020, $14.59 ,2/22/17,EA,N,B,6/7/17,High
OXYCONTIN 80 MG TABLET,59011048020, $17.97 ,3/22/17,EA,N,B,6/7/17,High
OXYMORPHONE HCL 10 MG TABLET,60687014811, $2.07 ,5/17/17,EA,N,G,6/7/17,Low
OXYMORPHONE HCL 5 MG TABLET,10702007001, $1.69 ,5/17/17,EA,N,G,6/7/17,Low
OXYMORPHONE HCL ER 10 MG TAB,115123201, $2.77 ,5/17/17,EA,N,G,6/7/17,Low
OXYMORPHONE HCL ER 15 MG TAB,228326211, $3.85 ,5/17/17,EA,N,G,6/7/17,Low
OXYMORPHONE HCL ER 20 MG TAB,228322906, $5.25 ,5/17/17,EA,N,G,6/7/17,High
OXYMORPHONE HCL ER 30 MG TAB,228326311, $6.70 ,5/17/17,EA,N,G,6/7/17,High
OXYMORPHONE HCL ER 40 MG TAB,228323011, $8.26 ,5/17/17,EA,N,G,6/7/17,High
OXYMORPHONE HCL ER 5 MG TABLET,115123113, $1.46 ,5/17/17,EA,N,G,6/7/17,Low
OXYMORPHONE HCL ER 7.5 MG TAB,115131513, $2.30 ,5/17/17,EA,N,G,6/7/17,Low
OXYTROL 3.9 MG/24HR PATCH,52544092054, $71.26 ,1/1/17,EA,N,B,6/7/17,High
PACERONE 100 MG TABLET,245014401, $2.64 ,4/19/17,EA,N,B-ANDA,6/7/17,Low
PAIN & FEVER 325 MG TABLET,536322201, $0.01 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN & FEVER 500 MG CAPLET,536321801, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN & FEVER 500 MG TABLET,536323101, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF 325 MG TABLET,36800040378, $0.01 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF 500 MG CAPLET,36800048462, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF 500 MG GELCAP,36800004683, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF 500 MG TABLET,36800040578, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF ALLERGY CAPLET,24385014762, $0.08 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF ER 650 MG CAPLET,24385062971, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF PM 25-500 MG CPLT,36800043778, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF PM CAPLET,46122017971, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF PM GELCAP,36800082960, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEF SINUS PE CAPLET,37205057162, $0.08 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEVER 325 MG TABLET,46122024778, $0.01 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEVER 500 MG CAPLET,24385048471, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEVER 500 MG GELCAP,37205098078, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEVER 500 MG TABLET,37205065978, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEVER PLUS TABLET,904513559, $0.05 ,5/17/17,EA,Y,G,6/7/17,Low
PAIN RELIEVER PM CAPLET,37205075971, $0.04 ,5/31/17,EA,Y,G,6/7/17,Low
PALIPERIDONE ER 1.5 MG TABLET,378397893, $14.42 ,5/17/17,EA,N,G,6/7/17,High
PALIPERIDONE ER 3 MG TABLET,378397993, $13.57 ,5/17/17,EA,N,G,6/7/17,High
PALIPERIDONE ER 6 MG TABLET,10147095303, $13.63 ,5/17/17,EA,N,G,6/7/17,High
PALIPERIDONE ER 9 MG TABLET,591369530, $21.11 ,5/17/17,EA,N,G,6/7/17,High
"PANCREAZE DR 10,500 UNIT CAP",50458034260, $2.66 ,1/19/17,EA,N,B,6/7/17,Low
"PANCREAZE DR 21,000 UNIT CAP",50458034660, $5.32 ,1/14/17,EA,N,B,6/7/17,High
"PANCREAZE DR 4,200 UNIT CAP",50458034160, $1.05 ,1/14/17,EA,N,B,6/7/17,Low
PANOXYL 10% ACNE FOAMING WASH,145098505, $0.04 ,12/21/16,GM,Y,B,6/7/17,Low
PANOXYL-4 ACNE CREAMY WASH,145266005, $0.04 ,12/21/16,GM,Y,B,6/7/17,Low
PANTOPRAZOLE SOD DR 20 MG TAB,65862055990, $0.10 ,5/17/17,EA,N,G,6/7/17,Low
PANTOPRAZOLE SOD DR 40 MG TAB,13668042990, $0.07 ,5/17/17,EA,N,G,6/7/17,Low
PARICALCITOL 1 MCG CAPSULE,55111066330, $3.50 ,5/17/17,EA,N,G,6/7/17,Low
PARICALCITOL 2 MCG CAPSULE,64980022603, $12.97 ,4/12/17,EA,N,G,6/7/17,High
PAROXETINE CR 12.5 MG TABLET,60505367303, $3.81 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE CR 25 MG TABLET,60505367403, $3.71 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE CR 37.5 MG TABLET,60505367503, $3.90 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE ER 12.5 MG TABLET,68180064706, $3.81 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE ER 25 MG TABLET,68180064606, $3.71 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE ER 37.5 MG TABLET,68180064506, $3.90 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE HCL 10 MG TABLET,68382009710, $0.10 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE HCL 20 MG TABLET,68084004511, $0.09 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE HCL 30 MG TABLET,13107015699, $0.12 ,5/17/17,EA,N,G,6/7/17,Low
PAROXETINE HCL 40 MG TABLET,13107015799, $0.13 ,5/17/17,EA,N,G,6/7/17,Low
PATADAY 0.2% EYE DROPS,65027225, $63.95 ,2/22/17,ML,N,B,6/7/17,High
PATANASE 665 MCG NASAL SPRAY,65033230, $8.28 ,2/22/17,GM,N,B,6/7/17,High
PATANOL 0.1% EYE DROPS,65027105, $47.90 ,2/22/17,ML,N,B,6/7/17,High
PAXIL 10 MG TABLET,60505366303, $5.43 ,9/20/16,EA,N,B,6/7/17,High
PAXIL 10 MG/5 ML SUSPENSION,60505040205, $1.09 ,2/22/17,ML,N,B,6/7/17,Low
PAXIL 20 MG TABLET,60505366403, $5.61 ,9/20/16,EA,N,B,6/7/17,High
PAXIL 30 MG TABLET,60505366503, $5.77 ,9/20/16,EA,N,B,6/7/17,High
PAXIL 40 MG TABLET,60505366603, $6.03 ,9/22/16,EA,N,B,6/7/17,High
PAXIL CR 12.5 MG TABLET,60505366803, $5.48 ,9/20/16,EA,N,B,6/7/17,High
PAXIL CR 25 MG TABLET,60505366903, $5.78 ,9/20/16,EA,N,B,6/7/17,High
PAXIL CR 37.5 MG TABLET,60505367003, $5.98 ,9/20/16,EA,N,B,6/7/17,High
PAZEO 0.7% EYE DROPS,65427325, $63.37 ,11/23/16,ML,N,B,6/7/17,High
PEG 3350 ELECTROLYTE SOLN,62175044601, $0.00 ,5/17/17,ML,N,G,6/7/17,Low
PEG 3350-ELECTROLYTE SOLUTION,64380076921, $0.00 ,5/17/17,ML,N,G,6/7/17,Low
PEG-3350 AND ELECTROLYTES SOLN,10572010001, $0.00 ,5/17/17,ML,N,G,6/7/17,Low
PEG3350 POWDER,536105224, $0.02 ,5/17/17,GM,Y,G,6/7/17,Low
PENICILLIN VK 125 MG/5 ML SOLN,93412573, $0.05 ,5/17/17,ML,N,G,6/7/17,Low
PENICILLIN VK 250 MG TABLET,67253020011, $0.09 ,5/17/17,EA,N,G,6/7/17,Low
PENICILLIN VK 250 MG/5 ML SOLN,93412773, $0.06 ,5/17/17,ML,N,G,6/7/17,Low
PENICILLIN VK 500 MG TABLET,93117401, $0.16 ,5/17/17,EA,N,G,6/7/17,Low
PENNSAID 2% PUMP,75987004005, $19.65 ,12/30/16,GM,N,B,6/7/17,High
PENTASA 250 MG CAPSULE,54092018981, $2.57 ,2/22/17,EA,N,B,6/7/17,Low
PENTASA 500 MG CAPSULE,54092019112, $5.17 ,2/22/17,EA,N,B,6/7/17,High
PENTAZOCINE-NALOXONE TABLET,591039501, $2.02 ,5/17/17,EA,N,G,6/7/17,Low
PENTOXIFYLLINE ER 400 MG TAB,904544861, $0.17 ,5/17/17,EA,N,G,6/7/17,Low
PEPTIC RELIEF 262 MG CHEW TAB,536102107, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
PEPTIC RELIEF 262 MG/15 ML,536181059, $0.01 ,7/20/16,ML,Y,G,6/7/17,Low
PERCOCET 10-325 MG TABLET,63481062970, $16.25 ,5/17/17,EA,N,B-ANDA,6/7/17,High
PERCOCET 5-325 MG TABLET,63481062385, $11.48 ,5/17/17,EA,N,B-ANDA,6/7/17,High
PERCOCET 7.5-325 MG TABLET,63481062870, $12.56 ,4/3/17,EA,N,B-ANDA,6/7/17,High
PERDIEM OVERNIGHT RELIEF TB,67602560, $0.13 ,5/17/17,EA,Y,G,6/7/17,Low
PERFOROMIST 20 MCG/2 ML SOLN,49502060561, $7.22 ,5/16/17,ML,N,B,6/7/17,High
PERI-COLACE TABLET,67618010660, $0.42 ,4/19/17,EA,Y,B,6/7/17,Low
PERINDOPRIL ERBUMINE 4 MG TAB,527191901, $0.49 ,4/19/17,EA,N,G,6/7/17,Low
PERINDOPRIL ERBUMINE 8 MG TAB,65862028801, $0.57 ,5/17/17,EA,N,G,6/7/17,Low
PERMETHRIN 5% CREAM,472024260, $0.83 ,5/17/17,GM,N,G,6/7/17,Low
PERPHEN-AMITRIP 2 MG-10 MG TAB,378033001, $1.19 ,10/19/16,EA,N,G,6/7/17,Low
PERPHEN-AMITRIP 2 MG-25 MG TAB,378044205, $1.51 ,12/21/16,EA,N,G,6/7/17,Low
PERPHEN-AMITRIP 4 MG-25 MG TAB,378057401, $1.64 ,11/23/16,EA,N,G,6/7/17,Low
PERPHENAZINE 16 MG TABLET,68084084225, $1.76 ,5/17/17,EA,N,G,6/7/17,Low
PERPHENAZINE 2 MG TABLET,781104601, $0.91 ,5/17/17,EA,N,G,6/7/17,Low
PERPHENAZINE 4 MG TABLET,603506121, $1.19 ,5/17/17,EA,N,G,6/7/17,Low
PERPHENAZINE 8 MG TABLET,781104813, $1.23 ,5/17/17,EA,N,G,6/7/17,Low
"PERTZYE DR 16,000 UNITS CAPS",59767001601, $4.04 ,1/1/17,EA,N,B,6/7/17,Low
PHARBEDRYL 25 MG CAPSULE,16103034811, $0.03 ,5/17/17,EA,Y,G,6/7/17,Low
PHARBEDRYL 50 MG CAPSULE,16103034711, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PHARBETOL 325 MG TABLET,16103035307, $0.01 ,5/17/17,EA,Y,G,6/7/17,Low
PHARBETOL 500 MG TABLET,16103037606, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
PHENADOZ 12.5 MG SUPPOSITORY,591298539, $7.67 ,5/17/17,EA,N,G,6/7/17,High
PHENADOZ 25 MG SUPPOSITORY,591299239, $7.23 ,5/17/17,EA,N,G,6/7/17,High
PHENASEPTIC 1.4% SPRAY,536242558, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
PHENAZOPYRIDINE 100 MG TAB,51293081001, $0.83 ,5/17/17,EA,N,G,6/7/17,Low
PHENAZOPYRIDINE 200 MG TAB,42192080201, $1.41 ,5/17/17,EA,N,G,6/7/17,Low
PHENDIMETRAZINE 35 MG TABLET,10702004501, $0.11 ,5/17/17,EA,N,G,6/7/17,Low
PHENDIMETRAZINE ER 105 MG CAP,185525410, $0.61 ,4/19/17,EA,N,G,6/7/17,Low
PHENELZINE SULFATE 15 MG TAB,59762011901, $0.48 ,5/17/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 100 MG TABLET,143145805, $0.33 ,9/21/16,EA,N,G,6/7/17,Low
PHENOBARBITAL 15 MG TABLET,143144505, $0.21 ,1/18/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 16.2 MG TABLET,13517011001, $0.40 ,5/17/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 20 MG/5 ML ELIX,603150858, $0.13 ,5/17/17,ML,N,G,6/7/17,Low
PHENOBARBITAL 20 MG/5 ML SOLN,16571033016, $0.13 ,5/17/17,ML,N,G,6/7/17,Low
PHENOBARBITAL 30 MG TABLET,143145001, $0.15 ,5/17/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 32.4 MG TABLET,51293062610, $0.47 ,5/17/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 60 MG TABLET,143145501, $0.20 ,5/17/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 64.8 MG TABLET,68084098925, $0.63 ,5/17/17,EA,N,G,6/7/17,Low
PHENOBARBITAL 97.2 MG TABLET,68084099525, $0.90 ,5/17/17,EA,N,G,6/7/17,Low
PHENTERMINE 15 MG CAPSULE,185064401, $0.21 ,5/17/17,EA,N,G,6/7/17,Low
PHENTERMINE 30 MG CAPSULE,10702002710, $0.19 ,5/17/17,EA,N,G,6/7/17,Low
PHENTERMINE 37.5 MG CAPSULE,527174301, $0.20 ,5/17/17,EA,N,G,6/7/17,Low
PHENTERMINE 37.5 MG TABLET,10702002501, $0.11 ,5/17/17,EA,N,G,6/7/17,Low
PHENYTEK 200 MG CAPSULE,378267001, $1.29 ,2/22/17,EA,N,B-ANDA,6/7/17,Low
PHENYTEK 300 MG CAPSULE,378375093, $1.94 ,10/19/16,EA,N,B-ANDA,6/7/17,Low
PHENYTOIN 125 MG/5 ML SUSP,472500208, $0.08 ,5/17/17,ML,N,G,6/7/17,Low
PHENYTOIN 50 MG INFATAB,59762521001, $0.32 ,5/17/17,EA,N,G,6/7/17,Low
PHENYTOIN 50 MG TABLET CHEW,64720021210, $0.32 ,5/17/17,EA,N,G,6/7/17,Low
PHENYTOIN SOD EXT 100 MG CAP,51079090530, $0.27 ,5/17/17,EA,N,G,6/7/17,Low
PHENYTOIN SOD EXT 300 MG CAP,62756043283, $1.73 ,12/21/16,EA,N,G,6/7/17,Low
PHILITH 0.4-0.035 MG TABLET,16714034701, $0.62 ,5/17/17,EA,N,G,6/7/17,Low
PHOSLYRA 667 MG/5 ML SOLUTION,49230064331, $0.25 ,2/1/17,ML,N,B,6/7/17,Low
PHOSPHA 250 NEUTRAL TABLET,64980010401, $0.34 ,5/17/17,EA,N,G,6/7/17,Low
PICATO 0.015% GEL,50222050247, $288.08 ,2/22/17,EA,N,B,6/7/17,High
PICATO 0.05% GEL,50222050347, $428.92 ,1/1/17,EA,N,B,6/7/17,High
PILOCARPINE 1% EYE DROPS,61314020315, $4.79 ,5/17/17,ML,N,G,6/7/17,Low
PILOCARPINE 2% EYE DROPS,61314020415, $4.69 ,5/17/17,ML,N,G,6/7/17,Low
PILOCARPINE 4% EYE DROPS,61314020615, $5.00 ,5/17/17,ML,N,G,6/7/17,High
PILOCARPINE HCL 5 MG TABLET,68084092825, $1.04 ,5/17/17,EA,N,G,6/7/17,Low
PILOCARPINE HCL 7.5 MG TABLET,228283711, $1.26 ,5/17/17,EA,N,G,6/7/17,Low
PIMOZIDE 1 MG TABLET,49884034701, $1.40 ,6/22/16,EA,N,G,6/7/17,Low
PIMOZIDE 2 MG TABLET,49884034801, $1.92 ,10/19/16,EA,N,G,6/7/17,Low
PIMTREA 28 DAY TABLET,16714040404, $0.72 ,5/17/17,EA,N,G,6/7/17,Low
PINDOLOL 10 MG TABLET,29033002901, $1.14 ,4/19/17,EA,N,G,6/7/17,Low
PINDOLOL 5 MG TABLET,378005201, $0.81 ,4/19/17,EA,N,G,6/7/17,Low
PINK BISMUTH 262 MG/15 ML SUSP,113030234, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
PINK BISMUTH CAPLET,24385001758, $0.07 ,12/21/16,EA,Y,G,6/7/17,Low
PINK BISMUTH TABLET CHEW,24385002465, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
PIOGLITAZONE HCL 15 MG TABLET,13668014005, $0.11 ,5/17/17,EA,N,G,6/7/17,Low
PIOGLITAZONE HCL 30 MG TABLET,93204756, $0.17 ,5/17/17,EA,N,G,6/7/17,Low
PIOGLITAZONE HCL 45 MG TABLET,54458086410, $0.17 ,5/17/17,EA,N,G,6/7/17,Low
PIOGLITAZONE-GLIMEPIRIDE 30-2,781563431, $11.31 ,12/21/16,EA,N,G,6/7/17,High
PIOGLITAZONE-GLIMEPIRIDE 30-4,781563531, $10.88 ,2/22/17,EA,N,G,6/7/17,High
PIOGLITAZONE-METFORMIN 15-500,93767706, $1.32 ,5/17/17,EA,N,G,6/7/17,Low
PIOGLITAZONE-METFORMIN 15-850,57237021860, $1.34 ,5/17/17,EA,N,G,6/7/17,Low
PIRMELLA 1-35-28 TABLET,68180089311, $0.41 ,5/17/17,EA,N,G,6/7/17,Low
PIRMELLA 7-7-7-28 TABLET,68180089213, $0.60 ,5/17/17,EA,N,G,6/7/17,Low
PIROXICAM 10 MG CAPSULE,378046601, $0.79 ,5/17/17,EA,N,G,6/7/17,Low
PIROXICAM 20 MG CAPSULE,29033001305, $1.20 ,5/17/17,EA,N,G,6/7/17,Low
PLAN B ONE-STEP 1.5 MG TABLET,51285016288, $33.07 ,2/22/17,EA,Y,B,6/7/17,High
PLAQUENIL 200 MG TABLET,24987056210, $8.30 ,10/20/16,EA,N,B,6/7/17,High
PLAVIX 75 MG TABLET,63653117106, $6.21 ,1/18/17,EA,N,B,6/7/17,High
PNV 29-1 TABLET,69543026790, $0.33 ,9/21/16,EA,N,G,6/7/17,Low
PNV PRENATAL PLUS MULTIVIT TAB,44946104509, $0.12 ,5/17/17,EA,N,G,6/7/17,Low
PODOFILOX 0.5% TOPICAL SOLN,574061105, $14.08 ,5/17/17,ML,N,G,6/7/17,High
POLY HIST FORTE TABLET,50991021601, $0.62 ,5/17/17,EA,Y,G,6/7/17,Low
POLYCIN EYE OINTMENT,574402135, $2.92 ,5/17/17,GM,N,G,6/7/17,Low
POLYETHYLENE GLYCOL 3350 POWD,574041207, $1.81 ,5/17/17,EA,N,G,6/7/17,Low
POLYETHYLENE GLYCOL 3350 POWD,51079030601, $1.28 ,5/17/17,EA,Y,G,6/7/17,Low
POLYETHYLENE GLYCOL 3350 POWD,45802086801, $0.03 ,5/17/17,GM,Y,G,6/7/17,Low
POLYETHYLENE GLYCOL 3350 POWD,51991045758, $0.03 ,5/17/17,GM,N,G,6/7/17,Low
POLY-HIST DM LIQUID,50991022016, $0.16 ,4/19/17,ML,Y,G,6/7/17,Low
POLYMYXIN B-TMP EYE DROPS,17478070311, $0.57 ,5/17/17,ML,N,G,6/7/17,Low
POLY-TUSSIN AC LIQUID,50991072316, $0.16 ,4/19/17,ML,Y,G,6/7/17,Low
POLY-VENT IR TABLET,50991021201, $0.66 ,4/19/17,EA,Y,G,6/7/17,Low
POLY-VI-FLOR 0.25 MG DROPS,23594050050, $4.78 ,4/19/17,ML,N,B,6/7/17,Low
PORTIA-28 TABLET,555902058, $0.47 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM 25 MEQ TABLET EFF,904272046, $0.29 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CIT-CITRIC ACID SOLN,121067616, $0.07 ,11/23/16,ML,N,G,6/7/17,Low
POTASSIUM CITRATE ER 10 MEQ TB,68084085033, $1.12 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CITRATE ER 15 MEQ TB,68382053801, $1.79 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CITRATE ER 5 MEQ TAB,68382053601, $0.95 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CL 10% (20 MEQ/15 ML) LIQUID,121046516, $0.44 ,5/17/17,ML,N,G,6/7/17,Low
POTASSIUM CL 10% (40 MEQ/30 ML) LIQUID,16571030316, $0.44 ,5/17/17,ML,N,G,6/7/17,Low
POTASSIUM CL 20% (40 MEQ/15 ML) LIQUID,603154358, $0.92 ,5/17/17,ML,N,G,6/7/17,Low
POTASSIUM CL ER 10 MEQ CAPSULE,53746054210, $0.28 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CL ER 10 MEQ TABLET,781571001, $0.26 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CL ER 20 MEQ TABLET,904650761, $0.41 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CL ER 8 MEQ CAPSULE,574018001, $0.53 ,5/17/17,EA,N,G,6/7/17,Low
POTASSIUM CL ER 8 MEQ TABLET,68382077610, $0.32 ,5/17/17,EA,N,G,6/7/17,Low
POTIGA 200 MG TABLET,173081259, $11.84 ,7/1/16,EA,N,B,6/7/17,High
POTIGA 50 MG TABLET,173081059, $5.80 ,7/1/16,EA,N,B,6/7/17,High
POVIDONE-IODINE 10% OINTMENT,603059950, $0.05 ,1/18/17,GM,Y,G,6/7/17,Low
POVIDONE-IODINE 10% SOLUTION,904110309, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
PRADAXA 110 MG CAPSULE,597010860, $5.98 ,1/4/17,EA,N,B,6/7/17,High
PRADAXA 150 MG CAPSULE,597013560, $5.94 ,2/22/17,EA,N,B,6/7/17,High
PRADAXA 75 MG CAPSULE,597014954, $5.95 ,2/22/17,EA,N,B,6/7/17,High
PRALUENT 150 MG/ML PEN,24590202, $531.64 ,5/17/17,ML,N,B,6/7/17,High
PRALUENT 75 MG/ML PEN,24590102, $540.44 ,10/19/16,ML,N,B,6/7/17,High
PRAMCORT 1% CREAM,49908015030, $1.26 ,5/17/17,GM,N,G,6/7/17,Low
PRAMIPEXOLE 0.125 MG TABLET,68084079395, $0.07 ,5/17/17,EA,N,G,6/7/17,Low
PRAMIPEXOLE 0.25 MG TABLET,42543070590, $0.06 ,5/17/17,EA,N,G,6/7/17,Low
PRAMIPEXOLE 0.5 MG TABLET,57237018290, $0.05 ,5/17/17,EA,N,G,6/7/17,Low
PRAMIPEXOLE 0.75 MG TABLET,31722090990, $0.09 ,5/17/17,EA,N,G,6/7/17,Low
PRAMIPEXOLE 1 MG TABLET,57237018490, $0.08 ,5/17/17,EA,N,G,6/7/17,Low
PRAMIPEXOLE 1.5 MG TABLET,42543070990, $0.06 ,5/17/17,EA,N,G,6/7/17,Low
PRAMIPEXOLE ER 0.75 MG TABLET,55111061230, $10.62 ,2/22/17,EA,N,G,6/7/17,High
PRAMIPEXOLE ER 1.5 MG TABLET,33342021007, $11.64 ,5/10/17,EA,N,G,6/7/17,High
PRAMIPEXOLE ER 3 MG TABLET,10370025411, $11.94 ,10/19/16,EA,N,G,6/7/17,High
PRAMIPEXOLE ER 4.5 MG TABLET,33342021407, $11.83 ,4/12/17,EA,N,G,6/7/17,High
PRAMOXINE HCL 1% FOAM,51862018015, $2.68 ,5/17/17,GM,Y,G,6/7/17,Low
PRAVASTATIN SODIUM 10 MG TAB,68084050011, $0.19 ,5/17/17,EA,N,G,6/7/17,Low
PRAVASTATIN SODIUM 20 MG TAB,68382007116, $0.13 ,5/17/17,EA,N,G,6/7/17,Low
PRAVASTATIN SODIUM 40 MG TAB,16729001017, $0.18 ,5/17/17,EA,N,G,6/7/17,Low
PRAVASTATIN SODIUM 80 MG TAB,68180048802, $0.32 ,5/17/17,EA,N,G,6/7/17,Low
PRAZOSIN 1 MG CAPSULE,51079063001, $0.42 ,5/17/17,EA,N,G,6/7/17,Low
PRAZOSIN 2 MG CAPSULE,93406810, $0.67 ,5/17/17,EA,N,G,6/7/17,Low
PRAZOSIN 5 MG CAPSULE,378320525, $1.04 ,5/17/17,EA,N,G,6/7/17,Low
PRED FORTE 1% EYE DROPS,11980018005, $24.35 ,2/22/17,ML,N,B,6/7/17,High
PRED MILD 0.12% EYE DROPS,11980017410, $24.77 ,1/1/17,ML,N,B,6/7/17,High
PREDNISOLONE 15 MG/5 ML SOLN,60432021208, $0.07 ,5/17/17,ML,N,G,6/7/17,Low
PREDNISOLONE 15 MG/5 ML SYRUP,603156756, $0.05 ,5/17/17,ML,N,G,6/7/17,Low
PREDNISOLONE 5 MG/5 ML SOLN,50383004004, $0.59 ,5/17/17,ML,N,G,6/7/17,Low
PREDNISOLONE AC 1% EYE DROP,60758011915, $7.37 ,5/17/17,ML,N,G,6/7/17,High
PREDNISOLONE ODT 10 MG TABLET,378471022, $10.41 ,6/22/16,EA,N,G,6/7/17,High
PREDNISOLONE SOD 1% EYE DROP,24208071510, $5.09 ,5/17/17,ML,N,G,6/7/17,High
PREDNISOLONE SOD PH 25 MG/5 ML,178058208, $1.02 ,3/22/17,ML,N,G,6/7/17,Low
PREDNISONE 1 MG TABLET,54474125, $0.13 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 10 MG TAB DOSE PACK,591544243, $0.85 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 10 MG TABLET,591544210, $0.12 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 2.5 MG TABLET,603533621, $0.11 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 20 MG TABLET,591544310, $0.14 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 5 MG TAB DOSE PACK,591505243, $0.56 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 5 MG TABLET,603533731, $0.56 ,5/17/17,EA,N,G,6/7/17,Low
PREDNISONE 5 MG/5 ML SOLUTION,54372263, $0.23 ,5/18/16,ML,N,G,6/7/17,Low
PREDNISONE 5 MG/ML SOLUTION,54372144, $1.56 ,8/17/16,ML,N,G,6/7/17,Low
PREDNISONE 50 MG TABLET,54001920, $0.25 ,5/17/17,EA,N,G,6/7/17,Low
"PREGNYL 10,000 UNITS VIAL",52031510, $89.05 ,5/17/17,EA,N,B,6/7/17,High
PREMARIN 0.3 MG TABLET,46110091, $4.98 ,2/22/17,EA,N,B,6/7/17,High
PREMARIN 0.45 MG TABLET,46110181, $5.00 ,2/22/17,EA,N,B,6/7/17,High
PREMARIN 0.625 MG TABLET,46110281, $5.00 ,2/22/17,EA,N,B,6/7/17,High
PREMARIN 0.9 MG TABLET,46110381, $5.00 ,2/22/17,EA,N,B,6/7/17,High
